name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
Heptyl mercaptan,,645,27.7,0.465,0.4226,,,,,,,,,,,,,,
1-Heptyne,,547,32.1,0.387,0.3778,,,,,,,,,,,,,,
Hexadecane,,723,14,1.04,0.7174,,,,,,,,,,,,,,
Hexanal,,591,34.6,0.369,0.3872,,,,,,,,,,,,,,
Hexane,"C6H14,n-hexane",507.6,30.25,0.371,0.3013,0.086,-166940,172120,-183.78,0.88736,0,0,1,104400,352300,1694.6,236900,761.6,1
Hexanoic acid,,660.2,33.08,0.408,0.7299,,,,,,,,,,,,,,
1-Hexanol,,611.3,34.46,0.382,0.5586,,,,,,,,,,,,,,
2-Hexanol,,585.3,33.11,0.385,0.5574,,,,,,,,,,,,,,
2-Hexanone,,587.61,32.87,0.378,0.3846,,,,,,,,,,,,,,
3-Hexanone,,582.82,33.2,0.378,0.3801,,,,,,,,,,,,,,
1-Hexene,"C6H12,1-hexene",504,32.1,0.348,0.2888,,,,,,,,,,,,,,
3-Hexyne,,544,35.3,0.331,0.2183,,,,,,,,,,,,,,
Hexyl mercaptan,,623,30.8,0.412,0.3681,,,,,,,,,,,,,,
